Fishnet,Fish_ID,No_of_lakes
1,22,1
1,29,3
1,30,1
1,39,2386
1,41,112
1,51,179
1,69,1119
1,99,246
1,117,1
1,130,2215
1,131,278
1,160,4438
1,161,673
1,176,1024
1,180,15
1,181,1
1,190,1151
1,191,4432
1,198,759
1,207,1268
1,221,1395
1,222,17
1,228,1555
1,229,23
1,237,736
1,258,1236
1,259,257
1,265,93
1,272,2
1,280,700
1,281,2671
1,286,1
1,288,1069
1,289,839
1,301,3
1,304,1
1,309,401
1,310,2748
1,311,1160
1,312,363
1,327,899
1,330,1
1,331,1
1,340,442
1,341,1197
1,342,580
1,343,25
1,348,603
1,354,1
1,361,1
1,370,1745
1,371,325
1,372,1106
1,373,116
1,376,12
1,380,1
1,382,3
1,387,1130
1,393,1
1,398,5
1,399,1089
1,400,2962
1,401,2885
1,402,1042
1,415,515
1,422,104
1,446,60
1,450,3
1,452,2
1,460,1030
1,469,63
1,472,284
1,476,328
1,477,1
1,479,3
1,486,1
1,488,35
1,489,2310
1,490,1129
1,491,2
1,499,112
1,502,1521
1,504,419
1,506,517
1,517,1
1,520,28
1,525,508
1,532,2068
1,534,1454
1,538,2
1,548,1700
1,549,64
1,550,142
1,562,2118
1,563,233
1,564,1338
1,566,40
1,572,9
1,579,1286
1,580,34
1,591,212
1,592,2293
1,593,1334
1,595,1497
1,596,104
1,609,1144
1,621,540
1,622,1360
1,623,1647
1,625,1219
1,626,62
1,638,2992
1,639,1136
1,653,1176
1,654,912
1,655,4169
1,665,12
1,666,343
1,668,3469
1,670,3
1,677,26
1,682,508
1,683,1295
1,685,2288
1,687,320
1,697,738
1,698,1733
1,703,5
1,715,1546
1,727,1563
1,728,2598
1,729,3463
1,730,905
1,735,430
1,738,619
1,755,471
1,756,847
1,757,3427
1,758,9441
1,760,6143
1,761,2334
1,766,1414
1,767,1395
1,768,2133
1,769,3574
1,770,1950
1,775,794
1,776,2679
1,777,284
1,785,3151
1,786,2417
1,787,4449
1,791,12272
1,796,1924
1,797,2556
1,798,3327
1,799,2067
1,800,2781
1,801,2229
1,802,1035
1,805,1356
1,806,401
1,812,446
1,814,318
1,815,6906
1,816,6375
1,821,6924
1,825,1626
1,826,1370
1,827,4208
1,828,2284
1,829,1354
1,830,1160
1,831,5096
1,832,3529
1,835,578
1,836,84
1,840,21
1,841,2
1,842,4304
1,843,1029
1,844,1278
1,845,3193
1,846,11161
1,848,12837
1,851,1
1,855,1040
1,856,4299
1,857,5997
1,858,3456
1,859,1170
1,861,3389
1,862,2905
1,865,1060
1,869,541
1,871,335
1,873,4664
1,874,3634
1,875,4686
1,880,8847
1,881,241
1,882,136
1,884,19
1,885,26
1,886,6884
1,887,8101
1,888,6474
1,889,1333
1,891,6258
1,892,10030
1,896,2896
1,897,1053
1,899,1073
1,900,1019
1,901,2413
1,902,6559
1,903,5068
1,904,5133
1,909,12420
1,911,1345
1,914,1574
1,916,681
1,917,10135
1,918,5944
1,919,2321
1,920,1330
1,921,4840
1,922,9963
1,923,1645
1,926,6830
1,928,4071
1,929,379
1,930,3397
1,931,761
1,932,5218
1,933,8982
1,934,12188
1,940,3839
1,947,4747
1,948,5370
1,949,883
1,950,1054
1,951,4335
1,952,7793
1,953,6306
1,954,3927
1,955,592
1,956,2744
1,957,7745
1,959,9499
1,960,1092
1,965,3101
1,966,6129
1,967,7887
1,968,2458
1,969,1024
1,977,4
1,980,1175
1,981,872
1,982,1513
1,983,4549
1,984,7774
1,985,4108
1,986,3618
1,987,1089
1,988,761
1,1004,238
1,1010,40
1,1012,13
1,1013,150
1,1014,1697
1,1015,832
1,1027,8
1,1041,45
1,1042,9
2,14,288
2,15,3585
2,16,3111
2,17,686
2,31,226
2,32,1515
2,33,314
2,34,6157
2,35,6370
2,36,7445
2,37,4357
2,38,656
2,39,67
2,51,4955
2,52,7768
2,53,4404
2,54,2675
2,55,2678
2,56,3280
2,57,6106
2,58,6082
2,59,1416
2,60,2326
2,67,196
2,68,863
2,69,953
2,70,561
2,71,7690
2,72,6444
2,73,4839
2,74,2376
2,75,863
2,76,7420
2,77,10787
2,78,6830
2,79,6233
2,80,7677
2,87,807
2,88,2299
2,89,3517
2,90,2856
2,91,5808
2,92,7098
2,93,6138
2,94,3612
2,95,2304
2,96,10092
2,97,12664
2,98,9361
2,99,7100
2,100,6910
2,107,2175
2,108,10011
2,109,5685
2,110,4320
2,111,841
2,112,229
2,113,795
2,115,533
2,116,7783
2,117,10100
2,118,7517
2,119,8213
2,120,3817
2,124,309
2,125,181
2,126,575
2,127,3886
2,128,8599
2,129,9555
2,130,10214
2,131,1078
2,135,465
2,136,13616
2,137,11206
2,138,4943
2,139,3979
2,140,485
2,144,1198
2,145,1101
2,146,5796
2,147,10751
2,148,11109
2,149,11365
2,150,10299
2,151,7060
2,152,2
2,154,218
2,155,863
2,156,8651
2,157,2885
2,161,56
2,162,123
2,163,1018
2,164,4393
2,165,9871
2,166,10619
2,167,9901
2,168,9159
2,169,6100
2,170,6754
2,171,10428
2,172,6322
2,173,2206
2,174,1847
2,175,175
2,176,440
2,177,1165
2,178,1589
2,179,864
2,181,2776
2,182,3809
2,183,3899
2,184,2462
2,185,9250
2,186,8150
2,187,6851
2,188,9746
2,189,10222
2,190,9260
2,191,6964
2,192,4381
2,193,6141
2,194,1124
2,197,2398
2,198,6956
2,199,1100
2,200,302
2,201,5150
2,202,8184
2,203,5650
2,204,5373
2,205,3898
2,206,5372
2,207,4999
2,208,7855
2,209,4977
2,210,7615
2,211,3830
2,212,4349
2,213,2675
2,214,3644
2,215,334
2,216,1861
2,217,3598
2,218,1918
2,219,142
2,220,35
2,221,2255
2,222,910
2,223,847
2,224,281
2,225,3974
2,226,7451
2,227,8138
2,228,8561
2,229,2316
2,230,1230
2,231,3542
2,232,805
2,233,2566
2,234,2675
2,235,3537
2,236,2203
2,237,764
2,238,5
2,239,8903
2,240,10148
2,241,8412
2,242,10279
3,1,69
3,2,114
3,3,87
3,4,147
3,5,7
3,6,9
3,7,137
3,8,48
3,9,108
3,10,100
3,11,79
3,12,126
3,13,5
3,14,124
3,15,172
3,16,11
3,17,48
3,18,124
3,19,6
3,20,140
3,21,6
3,22,16
3,23,9
3,24,46
3,25,47
3,26,24
3,27,15
3,28,259
3,29,55
3,30,92
3,31,107
3,32,45
3,33,119
3,34,91
3,35,134
3,36,153
3,37,74
3,38,48
3,39,82
3,40,147
3,41,446
3,42,247
3,43,865
3,44,506
3,45,845
3,46,701
3,47,808
3,48,956
3,49,1063
3,50,221
3,51,338
3,52,771
3,53,293
3,54,714
3,55,1147
3,56,489
3,57,1209
3,58,363
3,59,879
3,60,1145
3,61,890
3,62,497
3,63,609
3,64,868
3,65,457
3,66,290
3,67,740
3,68,635
3,69,405
3,70,884
3,71,854
3,72,1193
3,73,740
3,74,472
3,75,941
3,76,521
3,77,452
3,78,292
3,79,389
3,80,442
3,81,812
3,82,1235
3,83,521
3,84,326
3,85,2186
3,86,1323
3,87,1882
3,88,1617
3,89,2042
3,90,1526
3,91,1157
3,92,1686
3,93,1675
3,94,1356
3,95,1194
3,96,1984
3,97,2733
3,98,1154
3,99,2622
3,100,3003
3,101,3172
3,102,1489
3,103,1362
3,104,1291
3,105,2423
3,106,1268
,,1427688
